#ZVView-data-copy:  19-Jul-2023 16:26:13
#=======================================
#
#name:   ENDF/B-VIII.0: U-238(N,EL)U-238-L0
#X.axis: Incident Energy
#Y.axis: Cross Section
#wdata:  2
#ldata:  53542
#data...
#            X            Y
#          MeV        barns
    3.59462e-5      8.93996 
    3.59593e-5      9.66939 
    3.59724e-5      10.4584 
    3.59855e-5      11.3126 
    3.59986e-5      12.2381 
    3.60117e-5      13.2421 
    3.60248e-5      14.3324 
    3.60379e-5      15.5177 
     3.6051e-5       16.808 
     3.6064e-5      18.2146 
    3.60771e-5      19.7503 
    3.60902e-5      21.4297 
    3.61033e-5      23.2695 
    3.61164e-5      25.2888 
    3.61295e-5      27.5099 
    3.61426e-5      29.9585 
    3.61557e-5      32.6646 
    3.61644e-5       34.629 
    3.61731e-5      36.7354 
    3.61819e-5      38.9973 
    3.61906e-5        41.43 
    3.61993e-5      44.0508 
    3.62081e-5      46.8793 
    3.62159e-5       49.621 
    3.62238e-5      52.5678 
    3.62316e-5      55.7412 
    3.62395e-5      59.1655 
    3.62473e-5       62.869 
    3.62552e-5      66.8843 
     3.6263e-5      71.2495 
    3.62709e-5       76.009 
    3.62784e-5      80.9734 
    3.62859e-5       86.399 
    3.62934e-5      92.3489 
    3.63009e-5       98.897 
    3.63084e-5      106.131 
    3.63159e-5      114.155 
    3.63216e-5      120.764 
    3.63272e-5      127.946 
    3.63327e-5      135.578 
    3.63379e-5       143.48 
    3.63432e-5      152.071 
    3.63484e-5      161.428 
    3.63536e-5      171.639 
    3.63589e-5      182.802 
    3.63641e-5      195.025 
    3.63693e-5      208.429 
    3.63746e-5      223.149 
    3.63798e-5      239.334 
     3.6385e-5      257.147 
    3.63896e-5      274.042 
    3.63938e-5      290.953 
     3.6398e-5       309.24 
    3.64022e-5      329.018 
    3.64063e-5      350.412 
    3.64105e-5      373.553 
    3.64147e-5      398.581 
    3.64189e-5      425.647 
    3.64231e-5      454.905 
    3.64273e-5      486.521 
    3.64315e-5      520.667 
    3.64357e-5      557.526 
    3.64399e-5      597.281 
     3.6444e-5      640.129 
    3.64482e-5      686.267 
    3.64524e-5      735.902 
    3.64566e-5       789.24 
    3.64608e-5      846.495 
     3.6465e-5      907.874 
    3.64692e-5      973.597 
    3.64734e-5      1043.87 
    3.64786e-5      1138.42 
    3.64835e-5      1233.72 
    3.64884e-5      1336.14 
    3.64933e-5      1445.95 
    3.64982e-5      1563.41 
     3.6503e-5      1688.74 
    3.65079e-5      1822.12 
    3.65128e-5       1963.7 
    3.65191e-5       2157.9 
    3.65249e-5      2347.97 
    3.65306e-5      2549.49 
    3.65383e-5      2835.56 
     3.6546e-5      3140.57 
    3.65542e-5      3484.13 
     3.6565e-5      3968.61 
    3.65801e-5         4672 
    3.66024e-5      5739.58 
    3.66136e-5      6252.08 
    3.66247e-5      6729.59 
    3.66331e-5      7055.24 
    3.66415e-5      7345.94 
    3.66499e-5      7595.81 
    3.66583e-5      7799.67 
    3.66662e-5      7946.82 
    3.66744e-5      8048.36 
    3.66834e-5      8097.81 
    3.66859e-5      8100.16 
     3.6694e-5      8073.24 
    3.67018e-5      7997.92 
    3.67102e-5      7865.33 
    3.67186e-5      7682.13 
     3.6727e-5      7452.49 
    3.67353e-5      7181.44 
    3.67437e-5      6874.75 
    3.67521e-5      6538.64 
    3.67633e-5      6056.05 
    3.67856e-5       5030.5 
    3.68038e-5      4201.89 
    3.68144e-5      3741.18 
     3.6824e-5      3345.85 
    3.68336e-5      2976.46 
     3.6842e-5       2678.4 
    3.68476e-5      2492.25 
    3.68532e-5      2316.31 
    3.68588e-5      2150.64 
    3.68644e-5      1995.16 
      3.687e-5      1849.74 
    3.68755e-5      1714.14 
    3.68818e-5      1572.97 
    3.68871e-5      1464.18 
    3.68923e-5      1363.12 
    3.68975e-5      1269.42 
    3.69028e-5      1182.72 
     3.6908e-5      1102.65 
    3.69132e-5      1028.82 
    3.69185e-5      960.845 
    3.69237e-5      898.344 
    3.69289e-5       840.94 
    3.69342e-5      788.269 
    3.69394e-5      739.974 
    3.69447e-5      695.718 
    3.69499e-5      655.178 
    3.69551e-5      618.048 
    3.69604e-5      584.039 
    3.69656e-5      552.881 
    3.69691e-5      533.569 
    3.69761e-5      498.131 
    3.69831e-5      466.518 
      3.699e-5      438.266 
    3.69957e-5      417.498 
    3.70014e-5      398.476 
    3.70099e-5      372.832 
    3.70184e-5      350.191 
    3.70269e-5      330.103 
    3.70354e-5      312.191 
    3.70439e-5      296.137 
    3.70524e-5      281.675 
    3.70581e-5      272.806 
    3.70695e-5      256.669 
    3.70808e-5      242.361 
    3.70932e-5      228.419 
    3.71057e-5          216 
    3.71181e-5      204.858 
    3.71306e-5        194.8 
    3.71471e-5      182.811 
    3.71637e-5      172.187 
    3.71803e-5      162.706 
    3.71969e-5      154.194 
    3.72135e-5       146.51 
    3.72309e-5      139.192 
    3.72484e-5      132.558 
    3.72658e-5      126.518 
     3.7292e-5      118.415 
    3.73182e-5      111.282 
    3.73444e-5       104.96 
    3.73706e-5      99.3228 
    3.73967e-5      94.2688 
    3.74229e-5       89.715 
    3.74491e-5      85.5934 
    3.74753e-5      81.8475 
    3.75085e-5      77.5687 
    3.75399e-5      73.9294 
    3.75713e-5      70.6367 
    3.76184e-5      66.2497 
    3.76655e-5      62.4177 
    3.77127e-5      59.0452 
    3.77616e-5      55.9529 
    3.78139e-5      53.0232 
    3.78663e-5      50.4268 
    3.79186e-5      48.1115 
    3.79536e-5      46.7031 
    3.80234e-5      44.1643 
    3.80932e-5      41.9406 
     3.8163e-5      39.9783 
    3.82328e-5       38.235 
    3.83027e-5       36.677 
    3.83864e-5      35.0137 
    3.84702e-5      33.5407 
     3.8554e-5      32.2278 
    3.86719e-5      30.6049 
    3.87741e-5      29.3732 
    3.89103e-5      27.9388 
    3.90466e-5      26.6987 
    3.91829e-5      25.6163 
    3.93119e-5      24.7114 
    3.95055e-5      23.5324 
    3.96991e-5       22.526 
    3.99091e-5      21.5883 
    4.01191e-5      20.7798 
    4.04011e-5      19.8532 
    4.06851e-5      19.0657 
    4.09711e-5      18.3865 
    4.12591e-5       17.795 
    4.16952e-5      17.0368 
    4.21619e-5      16.3656 
     4.2612e-5      15.8223 
     4.3224e-5      15.2051 
     4.3872e-5      14.6652 
    4.46374e-5      14.1369 
    4.55825e-5      13.6014 
     4.6709e-5      13.0798 
    4.80478e-5      12.5704 
    4.97808e-5      12.0229 
    5.22022e-5      11.3712 
      5.599e-5      10.3983 
    5.76422e-5      9.90902 
    5.88122e-5      9.49748 
    5.97422e-5       9.1055 
    6.03721e-5      8.79135 
    6.10109e-5      8.41561 
    6.14271e-5      8.12922 
    6.18336e-5      7.80779 
    6.21944e-5      7.47903 
    6.24645e-5      7.19861 
    6.26896e-5      6.93775 
    6.29147e-5      6.64747 
    6.31173e-5      6.35644 
    6.33537e-5       5.9746 
    6.35567e-5      5.60281 
    6.36913e-5      5.32886 
    6.38039e-5      5.08145 
